country,year,sex,age,suicides_no,population,suicides/100k pop
Jamaica,2011,female,5-14 years,3,252024,1.19
Jamaica,2011,male,5-14 years,3,263900,1.14
Jamaica,2011,female,55-74 years,1,168398,0.59
Jamaica,2011,female,15-24 years,1,262579,0.38
Jamaica,2011,female,35-54 years,1,346487,0.29
Jamaica,2011,female,25-34 years,0,218242,0.0
Jamaica,2011,female,75+ years,0,63432,0.0
Japan,2010,male,55-74 years,7466,16402437,45.52
Japan,2010,male,35-54 years,7351,17131261,42.91
Japan,2010,male,75+ years,2188,5345432,40.93
Japan,2010,male,25-34 years,2543,7822984,32.51
Japan,2010,male,15-24 years,1315,6324856,20.79
Japan,2010,female,75+ years,1686,8804107,19.15
Japan,2010,female,55-74 years,2879,17525806,16.43
Japan,2010,female,35-54 years,2404,16781836,14.33
Japan,2010,female,25-34 years,1008,7545642,13.36
Japan,2010,female,15-24 years,508,6008624,8.45
Japan,2010,male,5-14 years,42,5855595,0.72
Japan,2010,female,5-14 years,21,5578687,0.38
Japan,2011,male,55-74 years,6858,16343000,41.96
Japan,2011,male,35-54 years,6975,17224000,40.5
Japan,2011,male,75+ years,2188,5570000,39.28
Japan,2011,male,25-34 years,2404,7588000,31.68
Japan,2011,male,15-24 years,1304,6246000,20.88
Japan,2011,female,75+ years,1754,9092000,19.29
Japan,2011,female,55-74 years,2883,17447000,16.52
Japan,2011,female,35-54 years,2598,16861000,15.41
Japan,2011,female,25-34 years,1112,7314000,15.2
Japan,2011,female,15-24 years,616,5931000,10.39
Japan,2011,male,5-14 years,52,5792000,0.9
Japan,2011,female,5-14 years,22,5519000,0.4
Japan,2012,male,75+ years,2262,5783000,39.11
Japan,2012,male,55-74 years,6134,16254000,37.74
Japan,2012,male,35-54 years,6413,17318000,37.03
Japan,2012,male,25-34 years,2244,7384000,30.39
Japan,2012,male,15-24 years,1294,6185000,20.92
Japan,2012,female,75+ years,1612,9362000,17.22
Japan,2012,female,55-74 years,2636,17342000,15.2
Japan,2012,female,35-54 years,2242,16937000,13.24
Japan,2012,female,25-34 years,931,7110000,13.09
Japan,2012,female,15-24 years,495,5873000,8.43
Japan,2012,male,5-14 years,55,5729000,0.96
Japan,2012,female,5-14 years,20,5458000,0.37
Japan,2013,male,75+ years,2362,5964000,39.6
Japan,2013,male,35-54 years,6333,17367000,36.47
Japan,2013,male,55-74 years,5908,16202000,36.46
Japan,2013,male,25-34 years,2178,7186000,30.31
Japan,2013,male,15-24 years,1242,6143000,20.22
Japan,2013,female,75+ years,1713,9588000,17.87
Japan,2013,female,55-74 years,2604,17279000,15.07
Japan,2013,female,35-54 years,2242,16974000,13.21
Japan,2013,female,25-34 years,850,6913000,12.3
Japan,2013,female,15-24 years,467,5834000,8.0
Japan,2013,male,5-14 years,58,5666000,1.02
Japan,2013,female,5-14 years,34,5398000,0.63
Japan,2014,male,75+ years,2254,6104000,36.93
Japan,2014,male,55-74 years,5477,16213000,33.78
Japan,2014,male,35-54 years,5710,17365000,32.88
Japan,2014,male,25-34 years,2131,7007000,30.41
Japan,2014,male,15-24 years,1180,6110000,19.31
Japan,2014,female,75+ years,1587,9761000,16.26
Japan,2014,female,55-74 years,2512,17288000,14.53
Japan,2014,female,35-54 years,2158,16959000,12.72
Japan,2014,female,25-34 years,814,6734000,12.09
Japan,2014,female,15-24 years,432,5803000,7.44
Japan,2014,male,5-14 years,68,5596000,1.22
Japan,2014,female,5-14 years,34,5334000,0.64
Japan,2015,male,75+ years,2297,6289365,36.52
Japan,2015,male,55-74 years,5241,16239222,32.27
Japan,2015,male,35-54 years,5507,17461022,31.54
Japan,2015,male,25-34 years,1948,6862886,28.38
Japan,2015,male,15-24 years,1091,6088330,17.92
Japan,2015,female,75+ years,1509,9983066,15.12
Japan,2015,female,55-74 years,2292,17232482,13.3
Japan,2015,female,35-54 years,2024,16991218,11.91
Japan,2015,female,25-34 years,685,6614211,10.36
Japan,2015,female,15-24 years,408,5772938,7.07
Japan,2015,male,5-14 years,62,5553851,1.12
Japan,2015,female,5-14 years,28,5287719,0.53
Kazakhstan,2010,male,75+ years,72,113390,63.5
Kazakhstan,2010,male,25-34 years,808,1310211,61.67
Kazakhstan,2010,male,35-54 years,1118,2037599,54.87
Kazakhstan,2010,male,55-74 years,389,810461,48.0
Kazakhstan,2010,male,15-24 years,528,1555580,33.94
Kazakhstan,2010,female,75+ years,39,263531,14.8
Kazakhstan,2010,female,15-24 years,193,1549811,12.45
Kazakhstan,2010,female,25-34 years,140,1332552,10.51
Kazakhstan,2010,female,55-74 years,88,1144484,7.69
Kazakhstan,2010,female,35-54 years,160,2227790,7.18
Kazakhstan,2010,male,5-14 years,49,1212500,4.04
Kazakhstan,2010,female,5-14 years,25,1155258,2.16
Kazakhstan,2011,male,25-34 years,778,1344771,57.85
Kazakhstan,2011,male,75+ years,64,119954,53.35
Kazakhstan,2011,male,35-54 years,1062,2062451,51.49
Kazakhstan,2011,male,55-74 years,358,831202,43.07
Kazakhstan,2011,male,15-24 years,493,1526023,32.31
Kazakhstan,2011,female,75+ years,44,273217,16.1
Kazakhstan,2011,female,15-24 years,171,1514356,11.29
Kazakhstan,2011,female,25-34 years,128,1367342,9.36
Kazakhstan,2011,female,35-54 years,166,2253866,7.37
Kazakhstan,2011,female,55-74 years,78,1172197,6.65
Kazakhstan,2011,male,5-14 years,38,1218724,3.12
Kazakhstan,2011,female,5-14 years,21,1169247,1.8
Kazakhstan,2012,male,25-34 years,716,1384736,51.71
Kazakhstan,2012,male,35-54 years,1074,2082135,51.58
Kazakhstan,2012,male,75+ years,60,129890,46.19
Kazakhstan,2012,male,55-74 years,368,852033,43.19
Kazakhstan,2012,male,15-24 years,426,1481240,28.76
Kazakhstan,2012,female,75+ years,40,288919,13.84
Kazakhstan,2012,female,15-24 years,131,1464381,8.95
Kazakhstan,2012,female,35-54 years,181,2273726,7.96
Kazakhstan,2012,female,25-34 years,111,1407854,7.88
Kazakhstan,2012,female,55-74 years,93,1198153,7.76
Kazakhstan,2012,male,5-14 years,33,1261734,2.62
Kazakhstan,2012,female,5-14 years,7,1198748,0.58
Kazakhstan,2013,male,75+ years,78,140008,55.71
Kazakhstan,2013,male,35-54 years,1142,2098964,54.41
Kazakhstan,2013,male,25-34 years,733,1425587,51.42
Kazakhstan,2013,male,55-74 years,393,878598,44.73
Kazakhstan,2013,male,15-24 years,449,1429864,31.4
Kazakhstan,2013,female,75+ years,48,307080,15.63
Kazakhstan,2013,female,15-24 years,182,1405609,12.95
Kazakhstan,2013,female,25-34 years,136,1451026,9.37
Kazakhstan,2013,female,35-54 years,193,2289754,8.43
Kazakhstan,2013,female,55-74 years,89,1228388,7.25
Kazakhstan,2013,male,5-14 years,42,1313549,3.2
Kazakhstan,2013,female,5-14 years,27,1246955,2.17
Kazakhstan,2014,male,35-54 years,1082,2116035,51.13
Kazakhstan,2014,male,75+ years,70,148578,47.11
Kazakhstan,2014,male,25-34 years,667,1462224,45.62
Kazakhstan,2014,male,55-74 years,343,911127,37.65
Kazakhstan,2014,male,15-24 years,356,1377269,25.85
Kazakhstan,2014,female,75+ years,47,325593,14.44
Kazakhstan,2014,female,15-24 years,132,1344351,9.82
Kazakhstan,2014,female,25-34 years,126,1490998,8.45
Kazakhstan,2014,female,35-54 years,171,2303567,7.42
Kazakhstan,2014,female,55-74 years,69,1263876,5.46
Kazakhstan,2014,male,5-14 years,38,1377917,2.76
Kazakhstan,2014,female,5-14 years,18,1307309,1.38
Kazakhstan,2015,male,75+ years,72,156393,46.04
Kazakhstan,2015,male,35-54 years,962,2130654,45.15
Kazakhstan,2015,male,25-34 years,603,1492576,40.4
Kazakhstan,2015,male,55-74 years,363,951365,38.16
Kazakhstan,2015,male,15-24 years,312,1326082,23.53
Kazakhstan,2015,female,75+ years,42,343577,12.22
Kazakhstan,2015,female,15-24 years,127,1285407,9.88
Kazakhstan,2015,female,35-54 years,175,2313458,7.56
Kazakhstan,2015,female,25-34 years,108,1524321,7.09
Kazakhstan,2015,female,55-74 years,65,1306669,4.97
Kazakhstan,2015,male,5-14 years,30,1445862,2.07
Kazakhstan,2015,female,5-14 years,13,1370388,0.95
Kuwait,2010,male,55-74 years,3,121359,2.47
Kuwait,2010,female,25-34 years,8,351659,2.27
Kuwait,2010,male,25-34 years,13,619392,2.1
Kuwait,2010,male,35-54 years,9,762814,1.18
Kuwait,2010,female,15-24 years,2,231645,0.86
Kuwait,2010,female,35-54 years,3,387443,0.77
Kuwait,2010,male,15-24 years,1,254945,0.39
Kuwait,2010,female,5-14 years,0,225440,0.0
Kuwait,2010,female,55-74 years,0,72487,0.0
Kuwait,2010,female,75+ years,0,8964,0.0
Kuwait,2010,male,5-14 years,0,237315,0.0
Kuwait,2010,male,75+ years,0,8151,0.0
Kuwait,2011,female,25-34 years,6,354327,1.69
Kuwait,2011,male,55-74 years,2,128263,1.56
Kuwait,2011,male,15-24 years,4,260399,1.54
Kuwait,2011,male,25-34 years,9,614348,1.46
Kuwait,2011,female,5-14 years,3,230439,1.3
Kuwait,2011,male,35-54 years,9,777932,1.16
Kuwait,2011,female,35-54 years,4,396994,1.01
Kuwait,2011,female,15-24 years,2,232768,0.86
Kuwait,2011,male,5-14 years,2,242095,0.83
Kuwait,2011,female,55-74 years,0,77462,0.0
Kuwait,2011,female,75+ years,0,9934,0.0
Kuwait,2011,male,75+ years,0,8737,0.0
Kuwait,2012,male,15-24 years,10,267410,3.74
Kuwait,2012,female,55-74 years,2,83066,2.41
Kuwait,2012,female,25-34 years,8,377621,2.12
Kuwait,2012,male,35-54 years,17,822229,2.07
Kuwait,2012,female,15-24 years,4,237359,1.69
Kuwait,2012,male,25-34 years,8,637302,1.26
Kuwait,2012,female,35-54 years,5,423084,1.18
Kuwait,2012,male,55-74 years,1,138505,0.72
Kuwait,2012,male,5-14 years,1,250917,0.4
Kuwait,2012,female,5-14 years,0,239552,0.0
Kuwait,2012,female,75+ years,0,10287,0.0
Kuwait,2012,male,75+ years,0,9366,0.0
Kuwait,2013,male,25-34 years,16,643877,2.48
Kuwait,2013,male,55-74 years,3,146172,2.05
Kuwait,2013,female,25-34 years,5,380061,1.32
Kuwait,2013,female,15-24 years,3,233349,1.29
Kuwait,2013,female,35-54 years,5,431425,1.16
Kuwait,2013,male,35-54 years,7,847524,0.83
Kuwait,2013,male,15-24 years,2,267988,0.75
Kuwait,2013,female,5-14 years,0,251412,0.0
Kuwait,2013,female,55-74 years,0,88514,0.0
Kuwait,2013,female,75+ years,0,10926,0.0
Kuwait,2013,male,5-14 years,0,262862,0.0
Kuwait,2013,male,75+ years,0,9980,0.0
Kuwait,2014,male,25-34 years,22,663735,3.31
Kuwait,2014,male,15-24 years,7,270301,2.59
Kuwait,2014,female,15-24 years,5,228222,2.19
Kuwait,2014,male,35-54 years,18,892860,2.02
Kuwait,2014,male,55-74 years,3,156953,1.91
Kuwait,2014,female,35-54 years,8,454428,1.76
Kuwait,2014,female,55-74 years,1,94314,1.06
Kuwait,2014,female,25-34 years,4,390934,1.02
Kuwait,2014,female,5-14 years,0,264790,0.0
Kuwait,2014,female,75+ years,0,11335,0.0
Kuwait,2014,male,5-14 years,0,276927,0.0
Kuwait,2014,male,75+ years,0,10485,0.0
Kyrgyzstan,2010,male,25-34 years,122,429972,28.37
Kyrgyzstan,2010,male,75+ years,10,36816,27.16
Kyrgyzstan,2010,male,35-54 years,131,597153,21.94
Kyrgyzstan,2010,male,55-74 years,38,189553,20.05
Kyrgyzstan,2010,male,15-24 years,86,597408,14.4
Kyrgyzstan,2010,female,75+ years,6,64212,9.34
Kyrgyzstan,2010,female,15-24 years,40,588624,6.8
Kyrgyzstan,2010,female,55-74 years,11,240446,4.57
Kyrgyzstan,2010,female,35-54 years,27,635294,4.25
Kyrgyzstan,2010,female,25-34 years,17,424270,4.01
Kyrgyzstan,2010,male,5-14 years,8,526711,1.52
Kyrgyzstan,2010,female,5-14 years,4,507097,0.79
Kyrgyzstan,2011,male,35-54 years,135,603067,22.39
Kyrgyzstan,2011,male,75+ years,8,37633,21.26
Kyrgyzstan,2011,male,25-34 years,92,440462,20.89
Kyrgyzstan,2011,male,55-74 years,36,196311,18.34
Kyrgyzstan,2011,male,15-24 years,82,591049,13.87
Kyrgyzstan,2011,female,15-24 years,47,580711,8.09
Kyrgyzstan,2011,female,75+ years,5,65298,7.66
Kyrgyzstan,2011,female,25-34 years,18,434790,4.14
Kyrgyzstan,2011,female,35-54 years,24,641700,3.74
Kyrgyzstan,2011,female,55-74 years,9,248599,3.62
Kyrgyzstan,2011,male,5-14 years,10,525127,1.9
Kyrgyzstan,2011,female,5-14 years,5,505791,0.99
Kyrgyzstan,2012,male,25-34 years,119,457076,26.04
Kyrgyzstan,2012,male,55-74 years,48,204335,23.49
Kyrgyzstan,2012,male,35-54 years,141,610705,23.09
Kyrgyzstan,2012,male,75+ years,6,38493,15.59
Kyrgyzstan,2012,female,75+ years,10,66672,15.0
Kyrgyzstan,2012,male,15-24 years,73,583127,12.52
Kyrgyzstan,2012,female,15-24 years,40,570274,7.01
Kyrgyzstan,2012,female,35-54 years,36,648241,5.55
Kyrgyzstan,2012,female,25-34 years,23,451969,5.09
Kyrgyzstan,2012,female,55-74 years,10,258395,3.87
Kyrgyzstan,2012,male,5-14 years,15,531219,2.82
Kyrgyzstan,2012,female,5-14 years,3,511854,0.59
Kyrgyzstan,2013,male,35-54 years,126,619074,20.35
Kyrgyzstan,2013,male,55-74 years,39,214859,18.15
Kyrgyzstan,2013,male,25-34 years,84,476515,17.63
Kyrgyzstan,2013,male,15-24 years,74,575574,12.86
Kyrgyzstan,2013,male,75+ years,5,39457,12.67
Kyrgyzstan,2013,female,15-24 years,37,559784,6.61
Kyrgyzstan,2013,female,75+ years,4,68456,5.84
Kyrgyzstan,2013,female,25-34 years,19,472177,4.02
Kyrgyzstan,2013,male,5-14 years,21,539750,3.89
Kyrgyzstan,2013,female,55-74 years,8,271112,2.95
Kyrgyzstan,2013,female,35-54 years,18,655531,2.75
Kyrgyzstan,2013,female,5-14 years,11,519911,2.12
Kyrgyzstan,2014,male,35-54 years,145,627231,23.12
Kyrgyzstan,2014,male,25-34 years,93,495103,18.78
Kyrgyzstan,2014,male,55-74 years,37,226999,16.3
Kyrgyzstan,2014,male,75+ years,6,40660,14.76
Kyrgyzstan,2014,male,15-24 years,61,567126,10.76
Kyrgyzstan,2014,female,75+ years,4,70778,5.65
Kyrgyzstan,2014,female,15-24 years,29,548946,5.28
Kyrgyzstan,2014,female,25-34 years,22,491445,4.48
Kyrgyzstan,2014,female,35-54 years,29,662629,4.38
Kyrgyzstan,2014,female,55-74 years,11,285203,3.86
Kyrgyzstan,2014,male,5-14 years,16,550704,2.91
Kyrgyzstan,2014,female,5-14 years,8,529606,1.51
Kyrgyzstan,2015,male,35-54 years,134,635515,21.09
Kyrgyzstan,2015,male,55-74 years,37,241078,15.35
Kyrgyzstan,2015,male,25-34 years,68,513358,13.25
Kyrgyzstan,2015,male,75+ years,5,41233,12.13
Kyrgyzstan,2015,male,15-24 years,65,557006,11.67
Kyrgyzstan,2015,female,15-24 years,35,537476,6.51
Kyrgyzstan,2015,female,75+ years,4,72276,5.53
Kyrgyzstan,2015,female,35-54 years,25,669556,3.73
Kyrgyzstan,2015,male,5-14 years,18,569962,3.16
Kyrgyzstan,2015,female,25-34 years,12,509797,2.35
Kyrgyzstan,2015,female,55-74 years,7,301107,2.32
Kyrgyzstan,2015,female,5-14 years,7,547463,1.28
Latvia,2010,male,75+ years,25,43667,57.25
Latvia,2010,male,55-74 years,105,187076,56.13
Latvia,2010,male,35-54 years,153,283732,53.92
Latvia,2010,male,25-34 years,59,145331,40.6
Latvia,2010,male,15-24 years,34,147429,23.06
Latvia,2010,female,55-74 years,29,281172,10.31
Latvia,2010,female,75+ years,10,120367,8.31
Latvia,2010,female,35-54 years,17,308180,5.52
Latvia,2010,female,15-24 years,4,141468,2.83
Latvia,2010,female,25-34 years,2,141714,1.41
Latvia,2010,female,5-14 years,0,91477,0.0
Latvia,2010,male,5-14 years,0,96293,0.0
Latvia,2011,male,75+ years,35,44766,78.18
Latvia,2011,male,55-74 years,99,187046,52.93
Latvia,2011,male,35-54 years,137,278936,49.12
Latvia,2011,male,25-34 years,56,142828,39.21
Latvia,2011,male,15-24 years,38,137623,27.61
Latvia,2011,female,75+ years,22,122500,17.96
Latvia,2011,female,55-74 years,21,279774,7.51
Latvia,2011,female,25-34 years,9,139013,6.47
Latvia,2011,female,35-54 years,18,302492,5.95
Latvia,2011,female,15-24 years,5,131378,3.81
Latvia,2011,female,5-14 years,0,91316,0.0
Latvia,2011,male,5-14 years,0,95939,0.0
Latvia,2012,male,35-54 years,164,275218,59.59
Latvia,2012,male,75+ years,25,46273,54.03
Latvia,2012,male,55-74 years,97,187386,51.76
Latvia,2012,male,25-34 years,50,142886,34.99
Latvia,2012,male,15-24 years,34,129182,26.32
Latvia,2012,female,75+ years,22,125246,17.57
Latvia,2012,female,35-54 years,22,297148,7.4
Latvia,2012,female,55-74 years,18,278027,6.47
Latvia,2012,female,15-24 years,6,122407,4.9
Latvia,2012,female,25-34 years,5,138307,3.62
Latvia,2012,male,5-14 years,1,97001,1.03
Latvia,2012,female,5-14 years,0,92440,0.0
Latvia,2013,male,75+ years,31,48030,64.54
Latvia,2013,male,55-74 years,92,188374,48.84
Latvia,2013,male,35-54 years,128,270844,47.26
Latvia,2013,male,25-34 years,53,143497,36.93
Latvia,2013,male,15-24 years,17,120698,14.08
Latvia,2013,female,75+ years,11,128209,8.58
Latvia,2013,female,55-74 years,23,276381,8.32
Latvia,2013,female,35-54 years,19,291387,6.52
Latvia,2013,female,25-34 years,6,137922,4.35
Latvia,2013,female,15-24 years,2,113955,1.76
Latvia,2013,male,5-14 years,1,98867,1.01
Latvia,2013,female,5-14 years,0,94300,0.0
Latvia,2014,male,75+ years,29,49779,58.26
Latvia,2014,male,55-74 years,93,189439,49.09
Latvia,2014,male,35-54 years,113,266548,42.39
Latvia,2014,male,25-34 years,45,143777,31.3
Latvia,2014,male,15-24 years,31,112758,27.49
Latvia,2014,female,75+ years,19,131335,14.47
Latvia,2014,female,25-34 years,10,137117,7.29
Latvia,2014,female,55-74 years,20,275103,7.27
Latvia,2014,female,15-24 years,6,106420,5.64
Latvia,2014,female,35-54 years,16,285454,5.61
Latvia,2014,female,5-14 years,0,95858,0.0
Latvia,2014,male,5-14 years,0,100453,0.0
Latvia,2015,male,75+ years,33,51293,64.34
Latvia,2015,male,55-74 years,94,190621,49.31
Latvia,2015,male,35-54 years,106,262740,40.34
Latvia,2015,male,25-34 years,48,143639,33.42
Latvia,2015,male,15-24 years,24,105890,22.67
Latvia,2015,female,75+ years,22,134138,16.4
Latvia,2015,female,55-74 years,30,274200,10.94
Latvia,2015,female,35-54 years,24,279553,8.59
Latvia,2015,female,15-24 years,3,100065,3.0
Latvia,2015,female,25-34 years,2,136399,1.47
Latvia,2015,male,5-14 years,1,100914,0.99
Latvia,2015,female,5-14 years,0,96070,0.0
Lithuania,2010,male,55-74 years,219,262907,83.3
Lithuania,2010,male,35-54 years,357,430396,82.95
Lithuania,2010,male,75+ years,49,72479,67.61
Lithuania,2010,male,25-34 years,110,198028,55.55
Lithuania,2010,male,15-24 years,93,227810,40.82
Lithuania,2010,female,75+ years,41,175611,23.35
Lithuania,2010,female,35-54 years,72,471491,15.27
Lithuania,2010,female,55-74 years,50,380465,13.14
Lithuania,2010,female,15-24 years,14,218961,6.39
Lithuania,2010,female,25-34 years,11,196906,5.59
Lithuania,2010,female,5-14 years,1,153084,0.65
Lithuania,2010,male,5-14 years,1,161599,0.62
Lithuania,2011,male,35-54 years,349,420391,83.02
Lithuania,2011,male,55-74 years,213,262391,81.18
Lithuania,2011,male,75+ years,56,74328,75.34
Lithuania,2011,male,25-34 years,124,189937,65.28
Lithuania,2011,male,15-24 years,74,217769,33.98
Lithuania,2011,female,75+ years,38,179526,21.17
Lithuania,2011,female,55-74 years,68,378929,17.95
Lithuania,2011,female,35-54 years,67,460566,14.55
Lithuania,2011,female,25-34 years,17,187312,9.08
Lithuania,2011,female,15-24 years,10,207726,4.81
Lithuania,2011,female,5-14 years,1,146411,0.68
Lithuania,2011,male,5-14 years,1,154519,0.65
Lithuania,2012,male,35-54 years,321,413107,77.7
Lithuania,2012,male,55-74 years,195,263194,74.09
Lithuania,2012,male,75+ years,53,76080,69.66
Lithuania,2012,male,25-34 years,117,187811,62.3
Lithuania,2012,male,15-24 years,64,209964,30.48
Lithuania,2012,female,75+ years,37,183510,20.16
Lithuania,2012,female,35-54 years,74,451819,16.38
Lithuania,2012,female,55-74 years,45,378541,11.89
Lithuania,2012,female,25-34 years,10,183799,5.44
Lithuania,2012,female,15-24 years,8,199629,4.01
Lithuania,2012,male,5-14 years,3,149055,2.01
Lithuania,2012,female,5-14 years,0,141261,0.0
Lithuania,2013,male,35-54 years,382,405191,94.28
Lithuania,2013,male,55-74 years,223,265835,83.89
Lithuania,2013,male,75+ years,63,77510,81.28
Lithuania,2013,male,25-34 years,121,188010,64.36
Lithuania,2013,male,15-24 years,96,203647,47.14
Lithuania,2013,female,75+ years,40,186711,21.42
Lithuania,2013,female,35-54 years,75,442140,16.96
Lithuania,2013,female,25-34 years,22,182444,12.06
Lithuania,2013,female,55-74 years,41,380096,10.79
Lithuania,2013,female,15-24 years,17,192772,8.82
Lithuania,2013,female,5-14 years,3,137471,2.18
Lithuania,2013,male,5-14 years,2,144800,1.38
Lithuania,2014,male,75+ years,72,78763,91.41
Lithuania,2014,male,35-54 years,309,396758,77.88
Lithuania,2014,male,55-74 years,204,269618,75.66
Lithuania,2014,male,25-34 years,94,189300,49.66
Lithuania,2014,male,15-24 years,88,197504,44.56
Lithuania,2014,female,75+ years,45,189437,23.75
Lithuania,2014,female,55-74 years,47,383128,12.27
Lithuania,2014,female,35-54 years,43,431495,9.97
Lithuania,2014,female,15-24 years,12,186406,6.44
Lithuania,2014,female,25-34 years,11,182183,6.04
Lithuania,2014,female,5-14 years,3,135051,2.22
Lithuania,2014,male,5-14 years,2,141934,1.41
Lithuania,2015,male,75+ years,67,79672,84.09
Lithuania,2015,male,55-74 years,216,273776,78.9
Lithuania,2015,male,35-54 years,275,387255,71.01
Lithuania,2015,male,25-34 years,101,190800,52.94
Lithuania,2015,male,15-24 years,66,188903,34.94
Lithuania,2015,female,75+ years,38,191358,19.86
Lithuania,2015,female,55-74 years,55,386892,14.22
Lithuania,2015,female,35-54 years,46,419841,10.96
Lithuania,2015,female,25-34 years,17,182926,9.29
Lithuania,2015,female,15-24 years,10,178882,5.59
Lithuania,2015,female,5-14 years,3,133506,2.25
Lithuania,2015,male,5-14 years,2,140115,1.43
Lithuania,2016,male,75+ years,78,80426,96.98
Lithuania,2016,male,55-74 years,212,277763,76.32
Lithuania,2016,male,35-54 years,266,376689,70.62
Lithuania,2016,male,25-34 years,96,191346,50.17
Lithuania,2016,male,15-24 years,41,177888,23.05
Lithuania,2016,female,75+ years,29,193001,15.03
Lithuania,2016,female,55-74 years,45,390385,11.53
Lithuania,2016,female,35-54 years,41,406249,10.09
Lithuania,2016,female,25-34 years,8,182632,4.38
Lithuania,2016,female,15-24 years,6,168917,3.55
Luxembourg,2010,male,75+ years,7,12469,56.14
Luxembourg,2010,male,35-54 years,24,80477,29.82
Luxembourg,2010,male,55-74 years,5,45726,10.93
Luxembourg,2010,male,15-24 years,3,30768,9.75
Luxembourg,2010,male,25-34 years,3,36519,8.21
Luxembourg,2010,female,35-54 years,5,77946,6.41
Luxembourg,2010,female,55-74 years,3,46835,6.41
Luxembourg,2010,female,25-34 years,2,36069,5.54
Luxembourg,2010,female,75+ years,1,21038,4.75
Luxembourg,2010,male,5-14 years,1,31209,3.2
Luxembourg,2010,female,15-24 years,0,29539,0.0
Luxembourg,2010,female,5-14 years,0,29384,0.0
Luxembourg,2011,male,75+ years,4,12991,30.79
Luxembourg,2011,male,35-54 years,20,82530,24.23
Luxembourg,2011,female,75+ years,5,21428,23.33
Luxembourg,2011,male,55-74 years,7,47058,14.88
Luxembourg,2011,male,25-34 years,4,37499,10.67
Luxembourg,2011,female,15-24 years,3,30482,9.84
Luxembourg,2011,female,35-54 years,6,79200,7.58
Luxembourg,2011,male,15-24 years,2,31906,6.27
Luxembourg,2011,female,55-74 years,3,48023,6.25
Luxembourg,2011,female,25-34 years,1,37231,2.69
Luxembourg,2011,female,5-14 years,0,29358,0.0
Luxembourg,2011,male,5-14 years,0,31212,0.0
Luxembourg,2012,male,75+ years,7,13581,51.54
Luxembourg,2012,male,55-74 years,10,48506,20.62
Luxembourg,2012,male,35-54 years,13,84570,15.37
Luxembourg,2012,male,15-24 years,5,33062,15.12
Luxembourg,2012,male,25-34 years,4,38866,10.29
Luxembourg,2012,female,75+ years,2,21770,9.19
Luxembourg,2012,female,35-54 years,5,80598,6.2
Luxembourg,2012,female,55-74 years,3,49311,6.08
Luxembourg,2012,female,15-24 years,1,31459,3.18
Luxembourg,2012,female,25-34 years,1,38629,2.59
Luxembourg,2012,female,5-14 years,0,29466,0.0
Luxembourg,2012,male,5-14 years,0,31226,0.0
Luxembourg,2013,male,75+ years,3,14046,21.36
Luxembourg,2013,male,55-74 years,9,50291,17.9
Luxembourg,2013,female,55-74 years,8,50752,15.76
Luxembourg,2013,male,35-54 years,10,86356,11.58
Luxembourg,2013,female,75+ years,2,22111,9.05
Luxembourg,2013,male,15-24 years,2,33718,5.93
Luxembourg,2013,female,25-34 years,2,39688,5.04
Luxembourg,2013,female,35-54 years,4,82301,4.86
Luxembourg,2013,female,15-24 years,0,32027,0.0
Luxembourg,2013,female,5-14 years,0,29800,0.0
Luxembourg,2013,male,25-34 years,0,40174,0.0
Luxembourg,2013,male,5-14 years,0,31425,0.0
Luxembourg,2014,male,55-74 years,18,52295,34.42
Luxembourg,2014,male,75+ years,4,14546,27.5
Luxembourg,2014,male,35-54 years,20,88218,22.67
Luxembourg,2014,male,25-34 years,7,41442,16.89
Luxembourg,2014,female,75+ years,3,22669,13.23
Luxembourg,2014,female,55-74 years,5,52260,9.57
Luxembourg,2014,female,15-24 years,2,32510,6.15
Luxembourg,2014,male,15-24 years,2,34219,5.84
Luxembourg,2014,female,25-34 years,2,40862,4.89
Luxembourg,2014,female,35-54 years,3,84147,3.57
Luxembourg,2014,male,5-14 years,1,31718,3.15
Luxembourg,2014,female,5-14 years,0,30054,0.0
Luxembourg,2015,male,55-74 years,16,54325,29.45
Luxembourg,2015,male,75+ years,4,15011,26.65
Luxembourg,2015,male,35-54 years,17,90095,18.87
Luxembourg,2015,female,55-74 years,9,53878,16.7
Luxembourg,2015,male,15-24 years,4,34757,11.51
Luxembourg,2015,male,25-34 years,4,42930,9.32
Luxembourg,2015,female,75+ years,2,23189,8.62
Luxembourg,2015,female,35-54 years,6,85928,6.98
Luxembourg,2015,female,5-14 years,1,30367,3.29
Luxembourg,2015,female,15-24 years,1,33170,3.01
Luxembourg,2015,female,25-34 years,0,42000,0.0
Luxembourg,2015,male,5-14 years,0,32098,0.0
Maldives,2010,male,15-24 years,1,50279,1.99
Maldives,2010,female,15-24 years,0,39026,0.0
Maldives,2010,female,25-34 years,0,31331,0.0
Maldives,2010,female,35-54 years,0,35077,0.0
Maldives,2010,female,5-14 years,0,29203,0.0
Maldives,2010,female,55-74 years,0,12087,0.0
Maldives,2010,female,75+ years,0,2155,0.0
Maldives,2010,male,25-34 years,0,44119,0.0
Maldives,2010,male,35-54 years,0,41732,0.0
Maldives,2010,male,5-14 years,0,30688,0.0
Maldives,2010,male,55-74 years,0,12814,0.0
Maldives,2010,male,75+ years,0,3048,0.0
Maldives,2011,male,5-14 years,1,30136,3.32
Maldives,2011,male,25-34 years,1,48207,2.07
