country,year,sex,age,suicides_no,population,suicides/100k pop
Armenia,2016,female,35-54 years,3,408109,0.74
Armenia,2016,female,25-34 years,2,277452,0.72
Armenia,2016,female,15-24 years,1,195422,0.51
Aruba,2010,male,35-54 years,4,15543,25.74
Aruba,2010,male,55-74 years,2,8660,23.09
Aruba,2010,female,55-74 years,1,10186,9.82
Aruba,2010,female,15-24 years,0,6031,0.0
Aruba,2010,female,25-34 years,0,6488,0.0
Aruba,2010,female,35-54 years,0,17826,0.0
Aruba,2010,female,5-14 years,0,7148,0.0
Aruba,2010,female,75+ years,0,2264,0.0
Aruba,2010,male,15-24 years,0,6437,0.0
Aruba,2010,male,25-34 years,0,5568,0.0
Aruba,2010,male,5-14 years,0,7414,0.0
Aruba,2010,male,75+ years,0,1441,0.0
Aruba,2011,male,55-74 years,3,8940,33.56
Aruba,2011,male,35-54 years,3,15388,19.5
Aruba,2011,female,25-34 years,1,6264,15.96
Aruba,2011,male,15-24 years,1,6706,14.91
Aruba,2011,female,55-74 years,1,10536,9.49
Aruba,2011,female,15-24 years,0,6272,0.0
Aruba,2011,female,35-54 years,0,17691,0.0
Aruba,2011,female,5-14 years,0,7064,0.0
Aruba,2011,female,75+ years,0,2358,0.0
Aruba,2011,male,25-34 years,0,5440,0.0
Aruba,2011,male,5-14 years,0,7324,0.0
Aruba,2011,male,75+ years,0,1505,0.0
Australia,2010,male,35-54 years,816,3076853,26.52
Australia,2010,male,75+ years,151,582009,25.94
Australia,2010,male,25-34 years,311,1606526,19.36
Australia,2010,male,55-74 years,360,2051197,17.55
Australia,2010,male,15-24 years,222,1618860,13.71
Australia,2010,female,35-54 years,228,3132534,7.28
Australia,2010,female,25-34 years,94,1579905,5.95
Australia,2010,female,75+ years,43,805401,5.34
Australia,2010,female,15-24 years,80,1521652,5.26
Australia,2010,female,55-74 years,104,2103428,4.94
Australia,2010,male,5-14 years,7,1420846,0.49
Australia,2010,female,5-14 years,4,1348336,0.3
Australia,2011,male,75+ years,146,588053,24.83
Australia,2011,male,35-54 years,704,3072726,22.91
Australia,2011,male,25-34 years,347,1610295,21.55
Australia,2011,male,55-74 years,366,2104816,17.39
Australia,2011,male,15-24 years,242,1570069,15.41
Australia,2011,female,35-54 years,230,3124328,7.36
Australia,2011,female,15-24 years,93,1495053,6.22
Australia,2011,female,55-74 years,118,2139108,5.52
Australia,2011,female,75+ years,45,817927,5.5
Australia,2011,female,25-34 years,85,1584036,5.37
Australia,2011,female,5-14 years,9,1351751,0.67
Australia,2011,male,5-14 years,7,1423748,0.49
Australia,2012,male,75+ years,158,606842,26.04
Australia,2012,male,35-54 years,802,3098534,25.88
Australia,2012,male,25-34 years,351,1657638,21.17
Australia,2012,male,55-74 years,396,2162980,18.31
Australia,2012,male,15-24 years,217,1579672,13.74
Australia,2012,female,35-54 years,258,3149749,8.19
Australia,2012,female,15-24 years,109,1503934,7.25
Australia,2012,female,75+ years,52,832122,6.25
Australia,2012,female,25-34 years,98,1630077,6.01
Australia,2012,female,55-74 years,123,2206179,5.58
Australia,2012,female,5-14 years,10,1368580,0.73
Australia,2012,male,5-14 years,6,1442602,0.42
Australia,2013,male,75+ years,160,627275,25.51
Australia,2013,male,35-54 years,754,3118829,24.18
Australia,2013,male,25-34 years,329,1702401,19.33
Australia,2013,male,55-74 years,418,2221866,18.81
Australia,2013,male,15-24 years,267,1591539,16.78
Australia,2013,female,35-54 years,275,3171477,8.67
Australia,2013,female,55-74 years,145,2276104,6.37
Australia,2013,female,15-24 years,95,1512779,6.28
Australia,2013,female,25-34 years,95,1676648,5.67
Australia,2013,female,75+ years,48,847577,5.66
Australia,2013,male,5-14 years,16,1464302,1.09
Australia,2013,female,5-14 years,6,1389383,0.43
